;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
04/02/2000;45.0;-1.0;59.0;75.0;101.0;37.0;57.0;19.0;82.0;60.0;62.0;107.0;50.0;62.0;78.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/02/2000;35.0;-1.0;63.0;77.0;84.0;47.0;47.0;14.0;106.0;63.0;89.0;111.0;50.0;63.0;101.0;84.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/02/2000;10.0;-1.0;41.0;61.0;62.0;16.0;17.0;13.0;71.0;31.0;52.0;77.0;21.0;26.0;69.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/02/2000;27.0;-1.0;59.0;67.0;90.0;36.0;45.0;6.0;83.0;55.0;64.0;96.0;36.0;52.0;88.0;58.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/02/2000;21.0;-1.0;56.0;66.0;93.0;34.0;40.0;6.0;71.0;35.0;53.0;101.0;32.0;46.0;79.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/02/2000;31.0;-1.0;46.0;53.0;84.0;41.0;43.0;5.0;54.0;49.0;44.0;65.0;36.0;36.0;72.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/02/2000;34.0;-1.0;64.0;76.0;93.0;45.0;49.0;12.0;97.0;55.0;63.0;101.0;44.0;58.0;101.0;70.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/02/2000;23.0;-1.0;40.0;48.0;80.0;30.0;44.0;7.0;44.0;49.0;38.0;60.0;38.0;36.0;63.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/02/2000;28.0;-1.0;40.0;47.0;74.0;32.0;36.0;7.0;58.0;43.0;44.0;62.0;33.0;36.0;65.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/02/2000;25.0;-1.0;51.0;58.0;75.0;25.0;35.0;5.0;68.0;51.0;50.0;73.0;37.0;43.0;70.0;58.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/02/2000;29.0;-1.0;56.0;61.0;99.0;28.0;42.0;9.0;74.0;55.0;51.0;86.0;41.0;46.0;78.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
