;nb_deces
2019-10-31;25
2019-11-1;29
2019-11-2;30
2019-11-3;38
2019-11-4;29
2019-11-5;37
2019-11-6;41
2019-11-7;35
2019-11-8;32
2019-11-9;38
2019-11-10;43
2019-11-11;28
2019-11-12;37
2019-11-13;35
2019-11-14;28
2019-11-15;44
2019-11-16;25
2019-11-17;39
2019-11-18;30
2019-11-19;45
2019-11-20;44
2019-11-21;29
2019-11-22;42
2019-11-23;32
2019-11-24;34
2019-11-25;33
2019-11-26;47
2019-11-27;34
2019-11-28;25
2019-11-29;36
2019-11-30;40
2019-12-1;37
2019-12-2;33
2019-12-3;38
2019-12-4;35
2019-12-5;29
2019-12-6;38
2019-12-7;35
2019-12-8;40
2019-12-9;41
2019-12-10;41
2019-12-11;38
2019-12-12;37
2019-12-13;36
2019-12-14;33
2019-12-15;54
2019-12-16;38
2019-12-17;44
2019-12-18;23
2019-12-19;41
2019-12-20;36
2019-12-21;34
2019-12-22;36
2019-12-23;43
2019-12-24;24
2019-12-25;33
2019-12-26;41
2019-12-27;47
2019-12-28;46
2019-12-29;34
2019-12-30;42
2019-12-31;26
