;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
08/02/2007;77.0;19.0;3.0;7.0;-1.0;0.0;26.0;47.0;5.0;6.0;-1.0;-1.0;-1.0;91.0;-1.0;12.0;1.0;17.0;7.0;9.0;21.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.74;1;1;1;1;0
09/02/2007;163.0;69.0;41.0;60.0;-1.0;1.0;135.0;123.0;39.0;77.0;-1.0;-1.0;-1.0;179.0;-1.0;61.0;15.0;77.0;47.0;110.0;71.0;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;104.62;1;1;1;1;1
10/02/2007;94.0;24.0;14.0;8.0;-1.0;0.0;57.0;62.0;4.0;15.0;-1.0;159.0;-1.0;146.0;-1.0;25.0;1.0;29.0;7.0;44.0;24.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.1;1;1;1;1;0
11/02/2007;29.0;2.0;3.0;2.0;-1.0;0.0;17.0;24.0;1.0;1.0;-1.0;38.0;-1.0;46.0;-1.0;2.0;1.0;7.0;0.0;4.0;4.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.89;0;1;0;0;0
12/02/2007;73.0;4.0;2.0;16.0;-1.0;0.0;34.0;37.0;1.0;10.0;-1.0;80.0;-1.0;66.0;-1.0;4.0;1.0;8.0;1.0;4.0;10.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.82;0;1;1;0;0
13/02/2007;85.0;23.0;10.0;22.0;-1.0;0.0;49.0;69.0;10.0;11.0;-1.0;188.0;-1.0;90.0;-1.0;16.0;0.0;22.0;15.0;11.0;26.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.64;1;1;1;1;0
14/02/2007;86.0;19.0;8.0;5.0;-1.0;0.0;54.0;43.0;3.0;8.0;-1.0;195.0;-1.0;110.0;-1.0;19.0;0.0;18.0;6.0;11.0;39.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.65;1;1;1;1;0
15/02/2007;91.0;18.0;23.0;66.0;-1.0;0.0;37.0;64.0;15.0;36.0;-1.0;151.0;-1.0;47.0;-1.0;15.0;5.0;49.0;32.0;36.0;13.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.67;1;1;1;1;0
16/02/2007;179.0;67.0;30.0;86.0;-1.0;0.0;150.0;116.0;53.0;64.0;-1.0;274.0;-1.0;188.0;-1.0;68.0;31.0;85.0;60.0;59.0;81.0;67.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;109.87;1;1;1;1;1
17/02/2007;43.0;20.0;10.0;9.0;-1.0;0.0;46.0;47.0;10.0;12.0;-1.0;127.0;-1.0;63.0;-1.0;13.0;2.0;21.0;20.0;13.0;21.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.72;1;1;1;0;0
18/02/2007;68.0;32.0;15.0;29.0;-1.0;0.0;81.0;71.0;14.0;21.0;-1.0;92.0;-1.0;73.0;-1.0;30.0;8.0;45.0;41.0;35.0;27.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;51.05;1;1;1;1;0
