;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur
02/02/2000;198.0;41.0;34.0;50.0;76.0;3.0;97.0;108.0;32.0;36.0;19.0;321.0;47.0;204.0;16.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;111.96
03/02/2000;133.0;11.0;24.0;48.0;-1.0;2.0;18.0;54.0;8.0;24.0;8.0;215.0;19.0;55.0;12.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.93
04/02/2000;212.0;113.0;44.0;75.0;-1.0;3.0;195.0;139.0;59.0;130.0;46.0;408.0;138.0;253.0;83.0;93.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;161.12
05/02/2000;256.0;78.0;73.0;109.0;-1.0;3.0;280.0;137.0;95.0;98.0;58.0;253.0;240.0;245.0;68.0;108.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;172.97
06/02/2000;93.0;10.0;4.0;20.0;-1.0;4.0;138.0;39.0;3.0;3.0;4.0;127.0;118.0;102.0;4.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;57.35
07/02/2000;178.0;29.0;20.0;33.0;-1.0;3.0;137.0;86.0;11.0;26.0;7.0;288.0;77.0;177.0;14.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;99.31
08/02/2000;207.0;36.0;4.0;37.0;-1.0;4.0;132.0;116.0;11.0;20.0;6.0;394.0;84.0;233.0;8.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;121.94
09/02/2000;147.0;18.0;22.0;62.0;-1.0;3.0;46.0;55.0;14.0;35.0;9.0;258.0;52.0;66.0;20.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;58.71
10/02/2000;283.0;106.0;55.0;130.0;-1.0;5.0;272.0;160.0;68.0;110.0;46.0;322.0;220.0;231.0;58.0;85.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;178.8
11/02/2000;117.0;12.0;27.0;35.0;-1.0;3.0;21.0;36.0;8.0;27.0;9.0;254.0;26.0;49.0;8.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.82
