;id_station;valeur
16/04/2007;FR20062;27.0
16/04/2007;FR20046;20.6
17/04/2007;FR20013;40.0
17/04/2007;FR20046;20.2
17/04/2007;FR20062;25.0
18/04/2007;FR20046;31.3
18/04/2007;FR20013;48.0
18/04/2007;FR20062;31.0
19/04/2007;FR20046;21.5
19/04/2007;FR20013;36.0
19/04/2007;FR20062;21.0
20/04/2007;FR20013;36.0
20/04/2007;FR20046;22.0
20/04/2007;FR20062;20.0
21/04/2007;FR20046;21.5
21/04/2007;FR20062;20.0
21/04/2007;FR20013;34.0
22/04/2007;FR20013;31.0
22/04/2007;FR20062;22.0
22/04/2007;FR20046;22.9
23/04/2007;FR20013;38.0
23/04/2007;FR20046;24.5
23/04/2007;FR20062;21.0
24/04/2007;FR20062;23.0
24/04/2007;FR20046;23.9
24/04/2007;FR20013;41.0
25/04/2007;FR20013;37.0
25/04/2007;FR20046;27.7
25/04/2007;FR20062;26.0
26/04/2007;FR20013;45.0
26/04/2007;FR20046;23.9
26/04/2007;FR20062;25.0
27/04/2007;FR20013;47.0
27/04/2007;FR20046;19.6
27/04/2007;FR20062;23.0
28/04/2007;FR20013;39.0
28/04/2007;FR20062;26.0
28/04/2007;FR20046;25.8
29/04/2007;FR20046;19.6
29/04/2007;FR20013;29.0
29/04/2007;FR20062;18.0
30/04/2007;FR20062;15.0
30/04/2007;FR20046;13.2
30/04/2007;FR20013;30.0
01/05/2007;FR20046;17.0
01/05/2007;FR20062;22.0
01/05/2007;FR20013;31.0
02/05/2007;FR20046;7.9
02/05/2007;FR20062;9.0
02/05/2007;FR20013;25.0
03/05/2007;FR20062;14.0
03/05/2007;FR20013;20.0
03/05/2007;FR20046;10.0
04/05/2007;FR20013;35.0
04/05/2007;FR20046;18.1
04/05/2007;FR20062;19.0
05/05/2007;FR20013;34.0
05/05/2007;FR20046;25.9
05/05/2007;FR20062;28.0
06/05/2007;FR20013;32.0
06/05/2007;FR20062;25.0
06/05/2007;FR20046;22.5
07/05/2007;FR20013;25.0
07/05/2007;FR20046;15.4
07/05/2007;FR20062;18.0
08/05/2007;FR20013;19.0
08/05/2007;FR20062;10.0
08/05/2007;FR20046;9.7
09/05/2007;FR20046;8.9
09/05/2007;FR20013;21.0
09/05/2007;FR20062;12.0
10/05/2007;FR20046;15.5
10/05/2007;FR20013;29.0
10/05/2007;FR20062;22.0
11/05/2007;FR20013;25.0
11/05/2007;FR20062;13.0
11/05/2007;FR20046;9.8
12/05/2007;FR20046;12.0
12/05/2007;FR20062;16.0
12/05/2007;FR20013;23.0
13/05/2007;FR20062;23.0
13/05/2007;FR20046;20.1
13/05/2007;FR20013;26.0
14/05/2007;FR20046;11.8
14/05/2007;FR20062;13.0
14/05/2007;FR20013;25.0
15/05/2007;FR20062;8.0
15/05/2007;FR20013;23.0
15/05/2007;FR20046;7.9
16/05/2007;FR20013;27.0
16/05/2007;FR20062;12.0
16/05/2007;FR20046;10.9
17/05/2007;FR20013;20.0
17/05/2007;FR20062;10.0
17/05/2007;FR20046;6.1
18/05/2007;FR20013;19.0
18/05/2007;FR20062;9.0
18/05/2007;FR20046;8.6
19/05/2007;FR20013;25.0
19/05/2007;FR20046;13.9
19/05/2007;FR20062;12.0
20/05/2007;FR20046;14.5
